<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GAZP;D;20100701;000000;143.2000000
GAZP;D;20100702;000000;148.2500000
GAZP;D;20100705;000000;148.0500000
GAZP;D;20100706;000000;152.3800000
GAZP;D;20100707;000000;153.4700000
GAZP;D;20100708;000000;151.9700000
GAZP;D;20100709;000000;154.2000000
GAZP;D;20100712;000000;156.1300000
GAZP;D;20100713;000000;159.0300000
GAZP;D;20100714;000000;158.1200000
GAZP;D;20100715;000000;157.1000000
GAZP;D;20100716;000000;155.1900000
GAZP;D;20100719;000000;156.6900000
GAZP;D;20100720;000000;155.4700000
GAZP;D;20100721;000000;158.2500000
GAZP;D;20100722;000000;162.3000000
GAZP;D;20100723;000000;160.9000000
GAZP;D;20100726;000000;162.1300000
GAZP;D;20100727;000000;164.3000000
GAZP;D;20100728;000000;161.7900000
GAZP;D;20100729;000000;165.5000000
GAZP;D;20100730;000000;162.8500000
GAZP;D;20100802;000000;168.9900000
GAZP;D;20100803;000000;165.9200000
GAZP;D;20100804;000000;167.0400000
GAZP;D;20100805;000000;166.9500000
GAZP;D;20100806;000000;166.8800000
GAZP;D;20100809;000000;169.6100000
GAZP;D;20100810;000000;166.5300000
GAZP;D;20100811;000000;162.3000000
GAZP;D;20100812;000000;162.4300000
GAZP;D;20100813;000000;161.2600000
GAZP;D;20100816;000000;163.1800000
GAZP;D;20100817;000000;164.2000000
GAZP;D;20100818;000000;162.4000000
GAZP;D;20100819;000000;160.1000000
GAZP;D;20100820;000000;158.7300000
GAZP;D;20100823;000000;159.1100000
GAZP;D;20100824;000000;156.6000000
GAZP;D;20100825;000000;155.6100000
GAZP;D;20100826;000000;158.7000000
GAZP;D;20100827;000000;158.5600000
GAZP;D;20100830;000000;159.0000000
GAZP;D;20100831;000000;159.1500000
GAZP;D;20100901;000000;161.7900000
GAZP;D;20100902;000000;162.8000000
GAZP;D;20100903;000000;163.0000000
GAZP;D;20100906;000000;162.9500000
GAZP;D;20100907;000000;161.5400000
GAZP;D;20100908;000000;164.1400000
GAZP;D;20100909;000000;165.5300000
GAZP;D;20100910;000000;164.4000000
GAZP;D;20100913;000000;165.0000000
GAZP;D;20100914;000000;163.0000000
GAZP;D;20100915;000000;163.8700000
GAZP;D;20100916;000000;163.1700000
GAZP;D;20100917;000000;162.1800000
GAZP;D;20100920;000000;163.1500000
GAZP;D;20100921;000000;163.1400000
GAZP;D;20100922;000000;160.8000000
GAZP;D;20100923;000000;159.2200000
GAZP;D;20100924;000000;157.9700000
GAZP;D;20100927;000000;157.5000000
GAZP;D;20100928;000000;156.8000000
GAZP;D;20100929;000000;157.8500000
GAZP;D;20100930;000000;160.0000000
GAZP;D;20101001;000000;160.5400000
GAZP;D;20101004;000000;161.9900000
GAZP;D;20101005;000000;162.4400000
GAZP;D;20101006;000000;163.0000000
GAZP;D;20101007;000000;162.4900000
GAZP;D;20101008;000000;163.3500000
GAZP;D;20101011;000000;165.0000000
GAZP;D;20101012;000000;163.0000000
GAZP;D;20101013;000000;164.7400000
GAZP;D;20101014;000000;162.3000000
GAZP;D;20101015;000000;161.0000000
GAZP;D;20101018;000000;163.4000000
GAZP;D;20101019;000000;162.2700000
GAZP;D;20101020;000000;161.9000000
GAZP;D;20101021;000000;165.8000000
GAZP;D;20101022;000000;168.4900000
GAZP;D;20101025;000000;169.6200000
GAZP;D;20101026;000000;168.4500000
GAZP;D;20101027;000000;167.0200000
GAZP;D;20101028;000000;167.1700000
GAZP;D;20101029;000000;168.8900000
GAZP;D;20101101;000000;169.8900000
GAZP;D;20101102;000000;170.1600000
GAZP;D;20101103;000000;170.1900000
GAZP;D;20101108;000000;174.2000000
GAZP;D;20101109;000000;176.1000000
GAZP;D;20101110;000000;174.4700000
GAZP;D;20101111;000000;172.6000000
GAZP;D;20101112;000000;171.8800000
GAZP;D;20101113;000000;171.6900000
GAZP;D;20101115;000000;171.7900000
GAZP;D;20101116;000000;169.5700000
GAZP;D;20101117;000000;168.8100000
GAZP;D;20101118;000000;170.7000000
GAZP;D;20101119;000000;172.2000000
GAZP;D;20101122;000000;169.7100000
GAZP;D;20101123;000000;167.7000000
GAZP;D;20101124;000000;170.3200000
GAZP;D;20101125;000000;172.6000000
GAZP;D;20101126;000000;174.4900000
GAZP;D;20101129;000000;173.0300000
GAZP;D;20101130;000000;174.2000000
GAZP;D;20101201;000000;182.4900000
GAZP;D;20101202;000000;189.2000000
GAZP;D;20101203;000000;190.7000000
GAZP;D;20101206;000000;194.3000000
GAZP;D;20101207;000000;192.9500000
GAZP;D;20101208;000000;190.9000000
GAZP;D;20101209;000000;192.8300000
GAZP;D;20101210;000000;192.8700000
GAZP;D;20101213;000000;195.8000000
GAZP;D;20101214;000000;197.2000000
GAZP;D;20101215;000000;195.5600000
GAZP;D;20101216;000000;193.4300000
GAZP;D;20101217;000000;194.1100000
GAZP;D;20101220;000000;194.0300000
GAZP;D;20101221;000000;195.5200000
GAZP;D;20101222;000000;197.0000000
GAZP;D;20101223;000000;196.0100000
GAZP;D;20101224;000000;195.3200000
GAZP;D;20101227;000000;194.9000000
GAZP;D;20101228;000000;194.4100000
GAZP;D;20101229;000000;192.5000000
GAZP;D;20101230;000000;193.5000000
