<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GMKN;D;20100701;000000;4368.8500000
GMKN;D;20100702;000000;4505.0000000
GMKN;D;20100705;000000;4618.0000000
GMKN;D;20100706;000000;4739.9000000
GMKN;D;20100707;000000;4785.6200000
GMKN;D;20100708;000000;4758.2600000
GMKN;D;20100709;000000;4815.0000000
GMKN;D;20100712;000000;4914.0900000
GMKN;D;20100713;000000;4949.7900000
GMKN;D;20100714;000000;4917.0000000
GMKN;D;20100715;000000;4840.2200000
GMKN;D;20100716;000000;4815.0000000
GMKN;D;20100719;000000;4852.0000000
GMKN;D;20100720;000000;4829.3100000
GMKN;D;20100721;000000;4893.0000000
GMKN;D;20100722;000000;5005.0000000
GMKN;D;20100723;000000;5073.0000000
GMKN;D;20100726;000000;5110.0000000
GMKN;D;20100727;000000;5052.0000000
GMKN;D;20100728;000000;4989.9400000
GMKN;D;20100729;000000;5074.4800000
GMKN;D;20100730;000000;4970.0000000
GMKN;D;20100802;000000;5120.0000000
GMKN;D;20100803;000000;5039.9900000
GMKN;D;20100804;000000;5069.0000000
GMKN;D;20100805;000000;5100.0000000
GMKN;D;20100806;000000;5025.0000000
GMKN;D;20100809;000000;5183.0100000
GMKN;D;20100810;000000;5154.0800000
GMKN;D;20100811;000000;5048.9400000
GMKN;D;20100812;000000;4990.0000000
GMKN;D;20100813;000000;5010.0000000
GMKN;D;20100816;000000;5085.0000000
GMKN;D;20100817;000000;5202.0000000
GMKN;D;20100818;000000;5228.0000000
GMKN;D;20100819;000000;5155.0000000
GMKN;D;20100820;000000;5170.0000000
GMKN;D;20100823;000000;5184.9100000
GMKN;D;20100824;000000;5067.0000000
GMKN;D;20100825;000000;5018.0000000
GMKN;D;20100826;000000;5123.9900000
GMKN;D;20100827;000000;5198.0000000
GMKN;D;20100830;000000;5276.4500000
GMKN;D;20100831;000000;5190.0000000
GMKN;D;20100901;000000;5305.1300000
GMKN;D;20100902;000000;5231.2500000
GMKN;D;20100903;000000;5268.0000000
GMKN;D;20100906;000000;5225.0000000
GMKN;D;20100907;000000;5177.7000000
GMKN;D;20100908;000000;5263.9900000
GMKN;D;20100909;000000;5233.1300000
GMKN;D;20100910;000000;5208.8800000
GMKN;D;20100913;000000;5211.9800000
GMKN;D;20100914;000000;5080.0000000
GMKN;D;20100915;000000;4976.6900000
GMKN;D;20100916;000000;5008.8700000
GMKN;D;20100917;000000;4945.0000000
GMKN;D;20100920;000000;4934.0000000
GMKN;D;20100921;000000;4969.5000000
GMKN;D;20100922;000000;4982.8000000
GMKN;D;20100923;000000;5012.0000000
GMKN;D;20100924;000000;5057.9500000
GMKN;D;20100927;000000;5031.9000000
GMKN;D;20100928;000000;5004.8600000
GMKN;D;20100929;000000;5125.0000000
GMKN;D;20100930;000000;5196.0400000
GMKN;D;20101001;000000;5254.7000000
GMKN;D;20101004;000000;5315.0000000
GMKN;D;20101005;000000;5294.8200000
GMKN;D;20101006;000000;5338.0000000
GMKN;D;20101007;000000;5353.5000000
GMKN;D;20101008;000000;5304.9000000
GMKN;D;20101011;000000;5369.9500000
GMKN;D;20101012;000000;5388.6500000
GMKN;D;20101013;000000;5400.0000000
GMKN;D;20101014;000000;5432.9500000
GMKN;D;20101015;000000;5492.0000000
GMKN;D;20101018;000000;5516.0000000
GMKN;D;20101019;000000;5425.0100000
GMKN;D;20101020;000000;5476.9600000
GMKN;D;20101021;000000;5550.0800000
GMKN;D;20101022;000000;5455.2300000
GMKN;D;20101025;000000;5609.0000000
GMKN;D;20101026;000000;5575.0000000
GMKN;D;20101027;000000;5512.0000000
GMKN;D;20101028;000000;5573.6700000
GMKN;D;20101029;000000;5584.3000000
GMKN;D;20101101;000000;5612.9700000
GMKN;D;20101102;000000;5640.0000000
GMKN;D;20101103;000000;5604.9500000
GMKN;D;20101108;000000;5870.0300000
GMKN;D;20101109;000000;6080.0000000
GMKN;D;20101110;000000;6020.0000000
GMKN;D;20101111;000000;5916.9700000
GMKN;D;20101112;000000;5906.2900000
GMKN;D;20101113;000000;5860.0000000
GMKN;D;20101115;000000;5919.9500000
GMKN;D;20101116;000000;5751.0000000
GMKN;D;20101117;000000;5791.0000000
GMKN;D;20101118;000000;5841.0000000
GMKN;D;20101119;000000;5926.0400000
GMKN;D;20101122;000000;5909.9500000
GMKN;D;20101123;000000;5865.0500000
GMKN;D;20101124;000000;6044.0000000
GMKN;D;20101125;000000;6140.0800000
GMKN;D;20101126;000000;6045.0000000
GMKN;D;20101129;000000;5973.0000000
GMKN;D;20101130;000000;6053.0300000
GMKN;D;20101201;000000;6161.0000000
GMKN;D;20101202;000000;6450.0000000
GMKN;D;20101203;000000;6670.0000000
GMKN;D;20101206;000000;6655.2700000
GMKN;D;20101207;000000;6610.0000000
GMKN;D;20101208;000000;6479.0000000
GMKN;D;20101209;000000;6566.5000000
GMKN;D;20101210;000000;6698.8800000
GMKN;D;20101213;000000;6618.0000000
GMKN;D;20101214;000000;6725.0000000
GMKN;D;20101215;000000;6790.0000000
GMKN;D;20101216;000000;6700.0000000
GMKN;D;20101217;000000;6698.0000000
GMKN;D;20101220;000000;6678.0000000
GMKN;D;20101221;000000;6695.5000000
GMKN;D;20101222;000000;6780.0000000
GMKN;D;20101223;000000;6824.0000000
GMKN;D;20101224;000000;6812.0000000
GMKN;D;20101227;000000;6755.1900000
GMKN;D;20101228;000000;6800.0000000
GMKN;D;20101229;000000;7195.0000000
GMKN;D;20101230;000000;7165.0000000
