<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
HYDR;D;20100701;000000;1.4680000
HYDR;D;20100702;000000;1.5340000
HYDR;D;20100705;000000;1.5410000
HYDR;D;20100706;000000;1.5760000
HYDR;D;20100707;000000;1.5430000
HYDR;D;20100708;000000;1.5440000
HYDR;D;20100709;000000;1.5450000
HYDR;D;20100712;000000;1.5890000
HYDR;D;20100713;000000;1.6330000
HYDR;D;20100714;000000;1.6300000
HYDR;D;20100715;000000;1.5750000
HYDR;D;20100716;000000;1.5640000
HYDR;D;20100719;000000;1.5900000
HYDR;D;20100720;000000;1.5830000
HYDR;D;20100721;000000;1.5870000
HYDR;D;20100722;000000;1.5930000
HYDR;D;20100723;000000;1.5850000
HYDR;D;20100726;000000;1.5980000
HYDR;D;20100727;000000;1.5780000
HYDR;D;20100728;000000;1.5480000
HYDR;D;20100729;000000;1.5800000
HYDR;D;20100730;000000;1.5770000
HYDR;D;20100802;000000;1.6330000
HYDR;D;20100803;000000;1.6090000
HYDR;D;20100804;000000;1.6270000
HYDR;D;20100805;000000;1.6150000
HYDR;D;20100806;000000;1.6110000
HYDR;D;20100809;000000;1.6380000
HYDR;D;20100810;000000;1.6360000
HYDR;D;20100811;000000;1.6420000
HYDR;D;20100812;000000;1.6740000
HYDR;D;20100813;000000;1.6730000
HYDR;D;20100816;000000;1.6720000
HYDR;D;20100817;000000;1.6640000
HYDR;D;20100818;000000;1.6450000
HYDR;D;20100819;000000;1.6460000
HYDR;D;20100820;000000;1.6130000
HYDR;D;20100823;000000;1.5940000
HYDR;D;20100824;000000;1.5740000
HYDR;D;20100825;000000;1.5750000
HYDR;D;20100826;000000;1.5940000
HYDR;D;20100827;000000;1.5860000
HYDR;D;20100830;000000;1.5950000
HYDR;D;20100831;000000;1.5820000
HYDR;D;20100901;000000;1.5940000
HYDR;D;20100902;000000;1.6380000
HYDR;D;20100903;000000;1.6460000
HYDR;D;20100906;000000;1.6310000
HYDR;D;20100907;000000;1.6180000
HYDR;D;20100908;000000;1.6360000
HYDR;D;20100909;000000;1.6440000
HYDR;D;20100910;000000;1.6370000
HYDR;D;20100913;000000;1.6480000
HYDR;D;20100914;000000;1.6250000
HYDR;D;20100915;000000;1.6290000
HYDR;D;20100916;000000;1.6170000
HYDR;D;20100917;000000;1.6110000
HYDR;D;20100920;000000;1.6060000
HYDR;D;20100921;000000;1.6120000
HYDR;D;20100922;000000;1.5990000
HYDR;D;20100923;000000;1.5790000
HYDR;D;20100924;000000;1.5720000
HYDR;D;20100927;000000;1.5590000
HYDR;D;20100928;000000;1.5520000
HYDR;D;20100929;000000;1.5580000
HYDR;D;20100930;000000;1.5690000
HYDR;D;20101001;000000;1.5730000
HYDR;D;20101004;000000;1.5900000
HYDR;D;20101005;000000;1.6110000
HYDR;D;20101006;000000;1.5970000
HYDR;D;20101007;000000;1.6000000
HYDR;D;20101008;000000;1.5860000
HYDR;D;20101011;000000;1.6040000
HYDR;D;20101012;000000;1.5900000
HYDR;D;20101013;000000;1.6120000
HYDR;D;20101014;000000;1.5940000
HYDR;D;20101015;000000;1.5980000
HYDR;D;20101018;000000;1.5900000
HYDR;D;20101019;000000;1.5690000
HYDR;D;20101020;000000;1.5760000
HYDR;D;20101021;000000;1.5980000
HYDR;D;20101022;000000;1.6100000
HYDR;D;20101025;000000;1.6050000
HYDR;D;20101026;000000;1.5920000
HYDR;D;20101027;000000;1.5780000
HYDR;D;20101028;000000;1.5840000
HYDR;D;20101029;000000;1.5860000
HYDR;D;20101101;000000;1.5740000
HYDR;D;20101102;000000;1.5680000
HYDR;D;20101103;000000;1.5710000
HYDR;D;20101108;000000;1.5870000
HYDR;D;20101109;000000;1.5970000
HYDR;D;20101110;000000;1.5930000
HYDR;D;20101111;000000;1.5730000
HYDR;D;20101112;000000;1.5810000
HYDR;D;20101113;000000;1.5770000
HYDR;D;20101115;000000;1.5880000
HYDR;D;20101116;000000;1.5620000
HYDR;D;20101117;000000;1.5520000
HYDR;D;20101118;000000;1.5730000
HYDR;D;20101119;000000;1.5680000
HYDR;D;20101122;000000;1.5840000
HYDR;D;20101123;000000;1.6130000
HYDR;D;20101124;000000;1.6560000
HYDR;D;20101125;000000;1.6640000
HYDR;D;20101126;000000;1.6440000
HYDR;D;20101129;000000;1.6290000
HYDR;D;20101130;000000;1.6510000
HYDR;D;20101201;000000;1.6380000
HYDR;D;20101202;000000;1.6390000
HYDR;D;20101203;000000;1.6340000
HYDR;D;20101206;000000;1.6740000
HYDR;D;20101207;000000;1.6500000
HYDR;D;20101208;000000;1.6210000
HYDR;D;20101209;000000;1.6250000
HYDR;D;20101210;000000;1.6210000
HYDR;D;20101213;000000;1.6340000
HYDR;D;20101214;000000;1.6350000
HYDR;D;20101215;000000;1.6250000
HYDR;D;20101216;000000;1.6270000
HYDR;D;20101217;000000;1.6410000
HYDR;D;20101220;000000;1.6390000
HYDR;D;20101221;000000;1.6610000
HYDR;D;20101222;000000;1.6570000
HYDR;D;20101223;000000;1.6670000
HYDR;D;20101224;000000;1.6440000
HYDR;D;20101227;000000;1.6300000
HYDR;D;20101228;000000;1.6300000
HYDR;D;20101229;000000;1.6400000
HYDR;D;20101230;000000;1.6490000
