<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
LKOH;D;20100701;000000;1550.0900000
LKOH;D;20100702;000000;1586.4000000
LKOH;D;20100705;000000;1584.7900000
LKOH;D;20100706;000000;1604.0000000
LKOH;D;20100707;000000;1600.7000000
LKOH;D;20100708;000000;1596.9400000
LKOH;D;20100709;000000;1591.9400000
LKOH;D;20100712;000000;1625.2300000
LKOH;D;20100713;000000;1659.0000000
LKOH;D;20100714;000000;1631.8200000
LKOH;D;20100715;000000;1609.7000000
LKOH;D;20100716;000000;1592.0000000
LKOH;D;20100719;000000;1593.0400000
LKOH;D;20100720;000000;1593.0000000
LKOH;D;20100721;000000;1637.0400000
LKOH;D;20100722;000000;1670.0000000
LKOH;D;20100723;000000;1680.0000000
LKOH;D;20100726;000000;1694.9800000
LKOH;D;20100727;000000;1690.2400000
LKOH;D;20100728;000000;1749.9900000
LKOH;D;20100729;000000;1759.0500000
LKOH;D;20100730;000000;1720.0000000
LKOH;D;20100802;000000;1724.9200000
LKOH;D;20100803;000000;1693.5000000
LKOH;D;20100804;000000;1684.4700000
LKOH;D;20100805;000000;1700.0000000
LKOH;D;20100806;000000;1696.0000000
LKOH;D;20100809;000000;1706.0500000
LKOH;D;20100810;000000;1674.6700000
LKOH;D;20100811;000000;1657.0000000
LKOH;D;20100812;000000;1660.0000000
LKOH;D;20100813;000000;1650.0900000
LKOH;D;20100816;000000;1650.0000000
LKOH;D;20100817;000000;1652.0100000
LKOH;D;20100818;000000;1650.0000000
LKOH;D;20100819;000000;1637.0700000
LKOH;D;20100820;000000;1645.8700000
LKOH;D;20100823;000000;1644.0000000
LKOH;D;20100824;000000;1630.0000000
LKOH;D;20100825;000000;1638.3000000
LKOH;D;20100826;000000;1652.9900000
LKOH;D;20100827;000000;1668.0000000
LKOH;D;20100830;000000;1655.0800000
LKOH;D;20100831;000000;1629.9900000
LKOH;D;20100901;000000;1656.1800000
LKOH;D;20100902;000000;1676.0000000
LKOH;D;20100903;000000;1674.0100000
LKOH;D;20100906;000000;1669.9400000
LKOH;D;20100907;000000;1671.0000000
LKOH;D;20100908;000000;1678.0000000
LKOH;D;20100909;000000;1715.0000000
LKOH;D;20100910;000000;1713.0000000
LKOH;D;20100913;000000;1713.5100000
LKOH;D;20100914;000000;1703.0000000
LKOH;D;20100915;000000;1720.9800000
LKOH;D;20100916;000000;1721.2000000
LKOH;D;20100917;000000;1702.0000000
LKOH;D;20100920;000000;1728.2700000
LKOH;D;20100921;000000;1743.3000000
LKOH;D;20100922;000000;1798.0500000
LKOH;D;20100923;000000;1797.0000000
LKOH;D;20100924;000000;1802.0000000
LKOH;D;20100927;000000;1728.9600000
LKOH;D;20100928;000000;1724.8500000
LKOH;D;20100929;000000;1708.1700000
LKOH;D;20100930;000000;1733.0400000
LKOH;D;20101001;000000;1749.0000000
LKOH;D;20101004;000000;1740.0100000
LKOH;D;20101005;000000;1754.1000000
LKOH;D;20101006;000000;1760.5800000
LKOH;D;20101007;000000;1742.9500000
LKOH;D;20101008;000000;1728.5000000
LKOH;D;20101011;000000;1750.0000000
LKOH;D;20101012;000000;1757.5000000
LKOH;D;20101013;000000;1785.0000000
LKOH;D;20101014;000000;1797.0000000
LKOH;D;20101015;000000;1785.0000000
LKOH;D;20101018;000000;1780.1000000
LKOH;D;20101019;000000;1751.1300000
LKOH;D;20101020;000000;1745.8100000
LKOH;D;20101021;000000;1758.4900000
LKOH;D;20101022;000000;1735.0000000
LKOH;D;20101025;000000;1740.7300000
LKOH;D;20101026;000000;1740.8500000
LKOH;D;20101027;000000;1730.9900000
LKOH;D;20101028;000000;1709.0500000
LKOH;D;20101029;000000;1734.1300000
LKOH;D;20101101;000000;1750.0000000
LKOH;D;20101102;000000;1758.0000000
LKOH;D;20101103;000000;1754.8800000
LKOH;D;20101108;000000;1772.0000000
LKOH;D;20101109;000000;1800.0000000
LKOH;D;20101110;000000;1769.0700000
LKOH;D;20101111;000000;1756.0000000
LKOH;D;20101112;000000;1741.5400000
LKOH;D;20101113;000000;1731.1000000
LKOH;D;20101115;000000;1748.3400000
LKOH;D;20101116;000000;1719.0000000
LKOH;D;20101117;000000;1724.9000000
LKOH;D;20101118;000000;1732.0000000
LKOH;D;20101119;000000;1745.6400000
LKOH;D;20101122;000000;1722.0000000
LKOH;D;20101123;000000;1701.0000000
LKOH;D;20101124;000000;1727.0000000
LKOH;D;20101125;000000;1723.0000000
LKOH;D;20101126;000000;1713.3500000
LKOH;D;20101129;000000;1682.9000000
LKOH;D;20101130;000000;1735.0000000
LKOH;D;20101201;000000;1790.0300000
LKOH;D;20101202;000000;1798.0100000
LKOH;D;20101203;000000;1812.0000000
LKOH;D;20101206;000000;1846.7800000
LKOH;D;20101207;000000;1816.0000000
LKOH;D;20101208;000000;1779.4900000
LKOH;D;20101209;000000;1785.2300000
LKOH;D;20101210;000000;1770.0000000
LKOH;D;20101213;000000;1761.8800000
LKOH;D;20101214;000000;1743.4000000
LKOH;D;20101215;000000;1757.8000000
LKOH;D;20101216;000000;1753.0900000
LKOH;D;20101217;000000;1761.9000000
LKOH;D;20101220;000000;1743.0000000
LKOH;D;20101221;000000;1751.0500000
LKOH;D;20101222;000000;1762.0500000
LKOH;D;20101223;000000;1760.8600000
LKOH;D;20101224;000000;1752.0000000
LKOH;D;20101227;000000;1735.7000000
LKOH;D;20101228;000000;1742.1800000
LKOH;D;20101229;000000;1745.0000000
LKOH;D;20101230;000000;1742.0000000
