<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
ROSN;D;20100701;000000;185.0900000
ROSN;D;20100702;000000;189.0100000
ROSN;D;20100705;000000;187.7100000
ROSN;D;20100706;000000;193.1500000
ROSN;D;20100707;000000;191.0500000
ROSN;D;20100708;000000;188.2400000
ROSN;D;20100709;000000;187.7200000
ROSN;D;20100712;000000;189.7000000
ROSN;D;20100713;000000;195.0100000
ROSN;D;20100714;000000;193.0100000
ROSN;D;20100715;000000;188.7300000
ROSN;D;20100716;000000;185.5100000
ROSN;D;20100719;000000;185.5000000
ROSN;D;20100720;000000;183.5800000
ROSN;D;20100721;000000;186.2500000
ROSN;D;20100722;000000;190.2800000
ROSN;D;20100723;000000;199.5000000
ROSN;D;20100726;000000;206.2500000
ROSN;D;20100727;000000;208.4300000
ROSN;D;20100728;000000;201.9900000
ROSN;D;20100729;000000;205.4300000
ROSN;D;20100730;000000;203.1900000
ROSN;D;20100802;000000;209.3000000
ROSN;D;20100803;000000;206.8000000
ROSN;D;20100804;000000;208.5000000
ROSN;D;20100805;000000;207.5000000
ROSN;D;20100806;000000;204.9900000
ROSN;D;20100809;000000;207.1600000
ROSN;D;20100810;000000;202.9900000
ROSN;D;20100811;000000;199.0000000
ROSN;D;20100812;000000;200.5100000
ROSN;D;20100813;000000;200.1000000
ROSN;D;20100816;000000;201.0000000
ROSN;D;20100817;000000;203.4200000
ROSN;D;20100818;000000;201.8800000
ROSN;D;20100819;000000;201.5000000
ROSN;D;20100820;000000;200.4000000
ROSN;D;20100823;000000;199.0100000
ROSN;D;20100824;000000;195.7500000
ROSN;D;20100825;000000;194.7000000
ROSN;D;20100826;000000;196.0000000
ROSN;D;20100827;000000;197.0000000
ROSN;D;20100830;000000;196.0000000
ROSN;D;20100831;000000;196.3600000
ROSN;D;20100901;000000;199.8600000
ROSN;D;20100902;000000;201.4600000
ROSN;D;20100903;000000;202.5000000
ROSN;D;20100906;000000;202.0000000
ROSN;D;20100907;000000;198.9900000
ROSN;D;20100908;000000;203.2000000
ROSN;D;20100909;000000;206.2000000
ROSN;D;20100910;000000;205.6900000
ROSN;D;20100913;000000;205.5100000
ROSN;D;20100914;000000;203.8800000
ROSN;D;20100915;000000;200.5700000
ROSN;D;20100916;000000;205.5000000
ROSN;D;20100917;000000;201.7100000
ROSN;D;20100920;000000;203.5000000
ROSN;D;20100921;000000;203.2000000
ROSN;D;20100922;000000;201.2000000
ROSN;D;20100923;000000;201.7900000
ROSN;D;20100924;000000;201.9000000
ROSN;D;20100927;000000;200.9700000
ROSN;D;20100928;000000;197.9600000
ROSN;D;20100929;000000;200.3700000
ROSN;D;20100930;000000;203.5200000
ROSN;D;20101001;000000;210.5200000
ROSN;D;20101004;000000;213.0300000
ROSN;D;20101005;000000;214.7000000
ROSN;D;20101006;000000;210.7100000
ROSN;D;20101007;000000;208.5000000
ROSN;D;20101008;000000;207.9900000
ROSN;D;20101011;000000;212.9400000
ROSN;D;20101012;000000;213.1000000
ROSN;D;20101013;000000;212.9300000
ROSN;D;20101014;000000;211.2000000
ROSN;D;20101015;000000;209.0900000
ROSN;D;20101018;000000;209.8200000
ROSN;D;20101019;000000;208.8000000
ROSN;D;20101020;000000;209.5300000
ROSN;D;20101021;000000;218.6900000
ROSN;D;20101022;000000;217.7900000
ROSN;D;20101025;000000;216.4600000
ROSN;D;20101026;000000;218.1000000
ROSN;D;20101027;000000;214.0000000
ROSN;D;20101028;000000;214.0300000
ROSN;D;20101029;000000;216.0100000
ROSN;D;20101101;000000;217.9900000
ROSN;D;20101102;000000;217.5100000
ROSN;D;20101103;000000;216.9000000
ROSN;D;20101108;000000;220.9300000
ROSN;D;20101109;000000;223.6900000
ROSN;D;20101110;000000;221.2900000
ROSN;D;20101111;000000;218.0700000
ROSN;D;20101112;000000;217.4000000
ROSN;D;20101113;000000;216.8000000
ROSN;D;20101115;000000;218.5000000
ROSN;D;20101116;000000;212.4000000
ROSN;D;20101117;000000;212.5500000
ROSN;D;20101118;000000;214.6400000
ROSN;D;20101119;000000;215.2900000
ROSN;D;20101122;000000;213.0600000
ROSN;D;20101123;000000;210.3200000
ROSN;D;20101124;000000;213.5000000
ROSN;D;20101125;000000;213.0100000
ROSN;D;20101126;000000;211.5000000
ROSN;D;20101129;000000;209.5000000
ROSN;D;20101130;000000;207.7700000
ROSN;D;20101201;000000;212.4800000
ROSN;D;20101202;000000;216.9100000
ROSN;D;20101203;000000;217.7000000
ROSN;D;20101206;000000;219.4000000
ROSN;D;20101207;000000;220.2800000
ROSN;D;20101208;000000;216.5700000
ROSN;D;20101209;000000;215.8600000
ROSN;D;20101210;000000;221.2300000
ROSN;D;20101213;000000;223.0800000
ROSN;D;20101214;000000;221.2100000
ROSN;D;20101215;000000;219.0200000
ROSN;D;20101216;000000;216.3500000
ROSN;D;20101217;000000;218.9900000
ROSN;D;20101220;000000;220.1000000
ROSN;D;20101221;000000;219.8800000
ROSN;D;20101222;000000;221.8000000
ROSN;D;20101223;000000;221.0000000
ROSN;D;20101224;000000;219.5000000
ROSN;D;20101227;000000;218.5300000
ROSN;D;20101228;000000;219.8000000
ROSN;D;20101229;000000;221.0000000
ROSN;D;20101230;000000;218.8500000
