<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBER;D;20100701;000000;71.9000000
SBER;D;20100702;000000;72.9800000
SBER;D;20100705;000000;73.3700000
SBER;D;20100706;000000;76.7000000
SBER;D;20100707;000000;77.4900000
SBER;D;20100708;000000;77.1800000
SBER;D;20100709;000000;77.6600000
SBER;D;20100712;000000;79.8000000
SBER;D;20100713;000000;82.4700000
SBER;D;20100714;000000;82.0600000
SBER;D;20100715;000000;80.7600000
SBER;D;20100716;000000;79.0700000
SBER;D;20100719;000000;80.5000000
SBER;D;20100720;000000;79.8000000
SBER;D;20100721;000000;81.9000000
SBER;D;20100722;000000;83.9300000
SBER;D;20100723;000000;83.0100000
SBER;D;20100726;000000;84.1900000
SBER;D;20100727;000000;84.6200000
SBER;D;20100728;000000;84.2800000
SBER;D;20100729;000000;86.5800000
SBER;D;20100730;000000;84.5600000
SBER;D;20100802;000000;86.5800000
SBER;D;20100803;000000;85.8400000
SBER;D;20100804;000000;85.8400000
SBER;D;20100805;000000;84.3000000
SBER;D;20100806;000000;82.8300000
SBER;D;20100809;000000;83.6800000
SBER;D;20100810;000000;82.8000000
SBER;D;20100811;000000;80.9300000
SBER;D;20100812;000000;80.9200000
SBER;D;20100813;000000;80.7100000
SBER;D;20100816;000000;79.9700000
SBER;D;20100817;000000;81.2600000
SBER;D;20100818;000000;80.6000000
SBER;D;20100819;000000;79.4000000
SBER;D;20100820;000000;78.3700000
SBER;D;20100823;000000;77.9500000
SBER;D;20100824;000000;75.4000000
SBER;D;20100825;000000;73.9900000
SBER;D;20100826;000000;76.6200000
SBER;D;20100827;000000;77.0100000
SBER;D;20100830;000000;77.3000000
SBER;D;20100831;000000;78.3100000
SBER;D;20100901;000000;80.4200000
SBER;D;20100902;000000;80.6300000
SBER;D;20100903;000000;81.7200000
SBER;D;20100906;000000;81.7400000
SBER;D;20100907;000000;79.9500000
SBER;D;20100908;000000;82.1800000
SBER;D;20100909;000000;83.6600000
SBER;D;20100910;000000;83.3600000
SBER;D;20100913;000000;84.5900000
SBER;D;20100914;000000;84.5000000
SBER;D;20100915;000000;84.4500000
SBER;D;20100916;000000;83.0000000
SBER;D;20100917;000000;82.1500000
SBER;D;20100920;000000;83.3700000
SBER;D;20100921;000000;83.8400000
SBER;D;20100922;000000;82.7300000
SBER;D;20100923;000000;84.3000000
SBER;D;20100924;000000;84.8100000
SBER;D;20100927;000000;83.6600000
SBER;D;20100928;000000;83.0600000
SBER;D;20100929;000000;83.9000000
SBER;D;20100930;000000;86.0800000
SBER;D;20101001;000000;89.0900000
SBER;D;20101004;000000;89.8800000
SBER;D;20101005;000000;91.9700000
SBER;D;20101006;000000;91.2000000
SBER;D;20101007;000000;90.4000000
SBER;D;20101008;000000;90.5000000
SBER;D;20101011;000000;91.7400000
SBER;D;20101012;000000;90.9000000
SBER;D;20101013;000000;91.3000000
SBER;D;20101014;000000;91.4700000
SBER;D;20101015;000000;92.5300000
SBER;D;20101018;000000;94.9600000
SBER;D;20101019;000000;95.3700000
SBER;D;20101020;000000;97.7000000
SBER;D;20101021;000000;103.3100000
SBER;D;20101022;000000;101.9000000
SBER;D;20101025;000000;102.3000000
SBER;D;20101026;000000;101.4200000
SBER;D;20101027;000000;99.7200000
SBER;D;20101028;000000;99.3500000
SBER;D;20101029;000000;101.3600000
SBER;D;20101101;000000;101.8500000
SBER;D;20101102;000000;102.3500000
SBER;D;20101103;000000;103.3000000
SBER;D;20101108;000000;103.9500000
SBER;D;20101109;000000;103.5900000
SBER;D;20101110;000000;100.4400000
SBER;D;20101111;000000;98.4000000
SBER;D;20101112;000000;97.9400000
SBER;D;20101113;000000;97.8000000
SBER;D;20101115;000000;99.2000000
SBER;D;20101116;000000;95.2600000
SBER;D;20101117;000000;97.2000000
SBER;D;20101118;000000;99.6600000
SBER;D;20101119;000000;98.7000000
SBER;D;20101122;000000;99.1500000
SBER;D;20101123;000000;98.5000000
SBER;D;20101124;000000;101.3100000
SBER;D;20101125;000000;102.6000000
SBER;D;20101126;000000;101.3600000
SBER;D;20101129;000000;100.7100000
SBER;D;20101130;000000;101.5100000
SBER;D;20101201;000000;103.3400000
SBER;D;20101202;000000;103.6400000
SBER;D;20101203;000000;103.0300000
SBER;D;20101206;000000;105.5600000
SBER;D;20101207;000000;107.3700000
SBER;D;20101208;000000;104.6700000
SBER;D;20101209;000000;104.6300000
SBER;D;20101210;000000;104.9200000
SBER;D;20101213;000000;107.4500000
SBER;D;20101214;000000;107.2500000
SBER;D;20101215;000000;107.7000000
SBER;D;20101216;000000;106.3000000
SBER;D;20101217;000000;105.7000000
SBER;D;20101220;000000;105.6000000
SBER;D;20101221;000000;106.8000000
SBER;D;20101222;000000;106.7800000
SBER;D;20101223;000000;106.9900000
SBER;D;20101224;000000;106.2300000
SBER;D;20101227;000000;105.1200000
SBER;D;20101228;000000;104.4700000
SBER;D;20101229;000000;104.3500000
SBER;D;20101230;000000;104.1800000
