<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBERP;D;20100701;000000;51.8000000
SBERP;D;20100702;000000;53.3700000
SBERP;D;20100705;000000;53.8000000
SBERP;D;20100706;000000;56.0200000
SBERP;D;20100707;000000;56.1500000
SBERP;D;20100708;000000;56.1600000
SBERP;D;20100709;000000;56.2900000
SBERP;D;20100712;000000;56.9600000
SBERP;D;20100713;000000;58.6500000
SBERP;D;20100714;000000;58.1000000
SBERP;D;20100715;000000;57.2800000
SBERP;D;20100716;000000;56.6900000
SBERP;D;20100719;000000;56.5700000
SBERP;D;20100720;000000;56.1800000
SBERP;D;20100721;000000;57.1700000
SBERP;D;20100722;000000;58.0000000
SBERP;D;20100723;000000;57.3200000
SBERP;D;20100726;000000;58.2400000
SBERP;D;20100727;000000;58.5900000
SBERP;D;20100728;000000;57.6000000
SBERP;D;20100729;000000;58.4500000
SBERP;D;20100730;000000;56.8500000
SBERP;D;20100802;000000;58.2400000
SBERP;D;20100803;000000;59.7400000
SBERP;D;20100804;000000;62.1800000
SBERP;D;20100805;000000;61.2500000
SBERP;D;20100806;000000;61.0000000
SBERP;D;20100809;000000;61.9100000
SBERP;D;20100810;000000;59.9000000
SBERP;D;20100811;000000;58.4900000
SBERP;D;20100812;000000;58.5000000
SBERP;D;20100813;000000;57.9600000
SBERP;D;20100816;000000;57.2000000
SBERP;D;20100817;000000;57.7200000
SBERP;D;20100818;000000;56.7700000
SBERP;D;20100819;000000;55.9100000
SBERP;D;20100820;000000;55.5000000
SBERP;D;20100823;000000;55.6500000
SBERP;D;20100824;000000;54.1800000
SBERP;D;20100825;000000;53.2900000
SBERP;D;20100826;000000;54.9900000
SBERP;D;20100827;000000;55.2200000
SBERP;D;20100830;000000;55.4400000
SBERP;D;20100831;000000;55.8700000
SBERP;D;20100901;000000;57.2400000
SBERP;D;20100902;000000;57.7000000
SBERP;D;20100903;000000;58.1000000
SBERP;D;20100906;000000;58.1000000
SBERP;D;20100907;000000;57.1500000
SBERP;D;20100908;000000;59.4600000
SBERP;D;20100909;000000;60.5000000
SBERP;D;20100910;000000;60.2000000
SBERP;D;20100913;000000;60.9100000
SBERP;D;20100914;000000;60.3000000
SBERP;D;20100915;000000;60.0500000
SBERP;D;20100916;000000;59.4500000
SBERP;D;20100917;000000;58.9400000
SBERP;D;20100920;000000;59.6500000
SBERP;D;20100921;000000;59.9000000
SBERP;D;20100922;000000;59.1900000
SBERP;D;20100923;000000;59.4000000
SBERP;D;20100924;000000;61.2000000
SBERP;D;20100927;000000;60.2500000
SBERP;D;20100928;000000;59.8000000
SBERP;D;20100929;000000;60.2300000
SBERP;D;20100930;000000;61.1100000
SBERP;D;20101001;000000;62.0000000
SBERP;D;20101004;000000;62.5200000
SBERP;D;20101005;000000;63.6300000
SBERP;D;20101006;000000;63.3000000
SBERP;D;20101007;000000;63.2500000
SBERP;D;20101008;000000;63.3400000
SBERP;D;20101011;000000;63.8000000
SBERP;D;20101012;000000;64.1500000
SBERP;D;20101013;000000;65.5500000
SBERP;D;20101014;000000;65.3100000
SBERP;D;20101015;000000;65.5200000
SBERP;D;20101018;000000;66.8900000
SBERP;D;20101019;000000;67.0200000
SBERP;D;20101020;000000;68.1900000
SBERP;D;20101021;000000;70.6500000
SBERP;D;20101022;000000;70.8900000
SBERP;D;20101025;000000;70.8000000
SBERP;D;20101026;000000;70.1600000
SBERP;D;20101027;000000;69.0100000
SBERP;D;20101028;000000;69.1500000
SBERP;D;20101029;000000;69.9100000
SBERP;D;20101101;000000;70.6200000
SBERP;D;20101102;000000;70.6700000
SBERP;D;20101103;000000;70.7000000
SBERP;D;20101108;000000;71.2700000
SBERP;D;20101109;000000;71.1300000
SBERP;D;20101110;000000;70.0000000
SBERP;D;20101111;000000;68.7000000
SBERP;D;20101112;000000;68.0700000
SBERP;D;20101113;000000;68.3800000
SBERP;D;20101115;000000;70.3200000
SBERP;D;20101116;000000;68.1400000
SBERP;D;20101117;000000;69.5000000
SBERP;D;20101118;000000;71.4000000
SBERP;D;20101119;000000;70.9400000
SBERP;D;20101122;000000;71.0500000
SBERP;D;20101123;000000;69.8000000
SBERP;D;20101124;000000;72.3600000
SBERP;D;20101125;000000;74.5000000
SBERP;D;20101126;000000;73.9500000
SBERP;D;20101129;000000;73.6200000
SBERP;D;20101130;000000;74.3000000
SBERP;D;20101201;000000;75.2200000
SBERP;D;20101202;000000;75.2000000
SBERP;D;20101203;000000;74.5000000
SBERP;D;20101206;000000;75.5000000
SBERP;D;20101207;000000;75.4700000
SBERP;D;20101208;000000;74.1000000
SBERP;D;20101209;000000;74.5000000
SBERP;D;20101210;000000;74.4100000
SBERP;D;20101213;000000;76.2000000
SBERP;D;20101214;000000;76.8000000
SBERP;D;20101215;000000;76.6800000
SBERP;D;20101216;000000;77.2900000
SBERP;D;20101217;000000;76.9300000
SBERP;D;20101220;000000;76.5900000
SBERP;D;20101221;000000;78.3500000
SBERP;D;20101222;000000;78.4000000
SBERP;D;20101223;000000;78.4400000
SBERP;D;20101224;000000;77.3000000
SBERP;D;20101227;000000;76.4800000
SBERP;D;20101228;000000;75.8900000
SBERP;D;20101229;000000;75.7100000
SBERP;D;20101230;000000;75.1000000
