<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SNGS;D;20100701;000000;26.5890000
SNGS;D;20100702;000000;27.3410000
SNGS;D;20100705;000000;27.5000000
SNGS;D;20100706;000000;27.9550000
SNGS;D;20100707;000000;27.7020000
SNGS;D;20100708;000000;27.6400000
SNGS;D;20100709;000000;27.6770000
SNGS;D;20100712;000000;28.0260000
SNGS;D;20100713;000000;28.1300000
SNGS;D;20100714;000000;28.3910000
SNGS;D;20100715;000000;27.8960000
SNGS;D;20100716;000000;27.6460000
SNGS;D;20100719;000000;27.8460000
SNGS;D;20100720;000000;27.8880000
SNGS;D;20100721;000000;29.0550000
SNGS;D;20100722;000000;29.5090000
SNGS;D;20100723;000000;29.8560000
SNGS;D;20100726;000000;30.5370000
SNGS;D;20100727;000000;30.7070000
SNGS;D;20100728;000000;30.2470000
SNGS;D;20100729;000000;30.8000000
SNGS;D;20100730;000000;30.7920000
SNGS;D;20100802;000000;31.2070000
SNGS;D;20100803;000000;30.4790000
SNGS;D;20100804;000000;30.5650000
SNGS;D;20100805;000000;30.4600000
SNGS;D;20100806;000000;30.2110000
SNGS;D;20100809;000000;30.3730000
SNGS;D;20100810;000000;29.6750000
SNGS;D;20100811;000000;29.3020000
SNGS;D;20100812;000000;28.9800000
SNGS;D;20100813;000000;28.7010000
SNGS;D;20100816;000000;28.3000000
SNGS;D;20100817;000000;28.4860000
SNGS;D;20100818;000000;28.3470000
SNGS;D;20100819;000000;27.9680000
SNGS;D;20100820;000000;27.5400000
SNGS;D;20100823;000000;27.7000000
SNGS;D;20100824;000000;27.1970000
SNGS;D;20100825;000000;27.8000000
SNGS;D;20100826;000000;27.8220000
SNGS;D;20100827;000000;28.3380000
SNGS;D;20100830;000000;28.3040000
SNGS;D;20100831;000000;28.9480000
SNGS;D;20100901;000000;29.6170000
SNGS;D;20100902;000000;29.9000000
SNGS;D;20100903;000000;30.3100000
SNGS;D;20100906;000000;30.1790000
SNGS;D;20100907;000000;30.4510000
SNGS;D;20100908;000000;30.6030000
SNGS;D;20100909;000000;30.5900000
SNGS;D;20100910;000000;30.7090000
SNGS;D;20100913;000000;30.8640000
SNGS;D;20100914;000000;30.7650000
SNGS;D;20100915;000000;30.7500000
SNGS;D;20100916;000000;30.0970000
SNGS;D;20100917;000000;29.4800000
SNGS;D;20100920;000000;29.6310000
SNGS;D;20100921;000000;29.5600000
SNGS;D;20100922;000000;29.1890000
SNGS;D;20100923;000000;28.7120000
SNGS;D;20100924;000000;28.5100000
SNGS;D;20100927;000000;28.9400000
SNGS;D;20100928;000000;28.7500000
SNGS;D;20100929;000000;28.9500000
SNGS;D;20100930;000000;29.3110000
SNGS;D;20101001;000000;29.4490000
SNGS;D;20101004;000000;29.9000000
SNGS;D;20101005;000000;30.0600000
SNGS;D;20101006;000000;29.9620000
SNGS;D;20101007;000000;29.9050000
SNGS;D;20101008;000000;30.0430000
SNGS;D;20101011;000000;30.1110000
SNGS;D;20101012;000000;30.2590000
SNGS;D;20101013;000000;30.6430000
SNGS;D;20101014;000000;30.3400000
SNGS;D;20101015;000000;30.0870000
SNGS;D;20101018;000000;30.1460000
SNGS;D;20101019;000000;30.0990000
SNGS;D;20101020;000000;29.7370000
SNGS;D;20101021;000000;30.0730000
SNGS;D;20101022;000000;29.8510000
SNGS;D;20101025;000000;29.9550000
SNGS;D;20101026;000000;30.2030000
SNGS;D;20101027;000000;29.9500000
SNGS;D;20101028;000000;29.7700000
SNGS;D;20101029;000000;30.2700000
SNGS;D;20101101;000000;30.6010000
SNGS;D;20101102;000000;30.5140000
SNGS;D;20101103;000000;30.4270000
SNGS;D;20101108;000000;30.6210000
SNGS;D;20101109;000000;30.6800000
SNGS;D;20101110;000000;30.7000000
SNGS;D;20101111;000000;30.4220000
SNGS;D;20101112;000000;29.9660000
SNGS;D;20101113;000000;29.6670000
SNGS;D;20101115;000000;29.9760000
SNGS;D;20101116;000000;29.8170000
SNGS;D;20101117;000000;29.6280000
SNGS;D;20101118;000000;29.6200000
SNGS;D;20101119;000000;29.8510000
SNGS;D;20101122;000000;29.8850000
SNGS;D;20101123;000000;29.7000000
SNGS;D;20101124;000000;29.6510000
SNGS;D;20101125;000000;29.7990000
SNGS;D;20101126;000000;29.7290000
SNGS;D;20101129;000000;29.6910000
SNGS;D;20101130;000000;29.6030000
SNGS;D;20101201;000000;30.0280000
SNGS;D;20101202;000000;30.4200000
SNGS;D;20101203;000000;30.5310000
SNGS;D;20101206;000000;30.9060000
SNGS;D;20101207;000000;30.5100000
SNGS;D;20101208;000000;29.9820000
SNGS;D;20101209;000000;30.2010000
SNGS;D;20101210;000000;30.1260000
SNGS;D;20101213;000000;30.1710000
SNGS;D;20101214;000000;30.3220000
SNGS;D;20101215;000000;30.4580000
SNGS;D;20101216;000000;30.2310000
SNGS;D;20101217;000000;30.5400000
SNGS;D;20101220;000000;30.5700000
SNGS;D;20101221;000000;30.6790000
SNGS;D;20101222;000000;30.9160000
SNGS;D;20101223;000000;31.0980000
SNGS;D;20101224;000000;30.9500000
SNGS;D;20101227;000000;30.8500000
SNGS;D;20101228;000000;30.7250000
SNGS;D;20101229;000000;31.4290000
SNGS;D;20101230;000000;32.2500000
