<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
TRNFP;D;20100701;000000;25506.0000000
TRNFP;D;20100702;000000;26700.0000000
TRNFP;D;20100705;000000;26500.0000000
TRNFP;D;20100706;000000;27739.2900000
TRNFP;D;20100707;000000;27750.0000000
TRNFP;D;20100708;000000;27902.0100000
TRNFP;D;20100709;000000;27851.0000000
TRNFP;D;20100712;000000;27956.0000000
TRNFP;D;20100713;000000;28680.0000000
TRNFP;D;20100714;000000;28173.0000000
TRNFP;D;20100715;000000;27150.2100000
TRNFP;D;20100716;000000;27050.0100000
TRNFP;D;20100719;000000;27150.9900000
TRNFP;D;20100720;000000;27114.9900000
TRNFP;D;20100721;000000;27310.0000000
TRNFP;D;20100722;000000;27903.0400000
TRNFP;D;20100723;000000;27752.0000000
TRNFP;D;20100726;000000;29779.9900000
TRNFP;D;20100727;000000;29451.0000000
TRNFP;D;20100728;000000;28950.0000000
TRNFP;D;20100729;000000;32090.0000000
TRNFP;D;20100730;000000;34278.0000000
TRNFP;D;20100802;000000;34400.0000000
TRNFP;D;20100803;000000;33151.1900000
TRNFP;D;20100804;000000;33531.0000000
TRNFP;D;20100805;000000;32800.0000000
TRNFP;D;20100806;000000;31749.0000000
TRNFP;D;20100809;000000;31760.0000000
TRNFP;D;20100810;000000;30600.0000000
TRNFP;D;20100811;000000;30950.0000000
TRNFP;D;20100812;000000;30744.9000000
TRNFP;D;20100813;000000;30800.0000000
TRNFP;D;20100816;000000;30556.6300000
TRNFP;D;20100817;000000;31197.7800000
TRNFP;D;20100818;000000;30902.0100000
TRNFP;D;20100819;000000;31250.0000000
TRNFP;D;20100820;000000;31650.0400000
TRNFP;D;20100823;000000;32390.0100000
TRNFP;D;20100824;000000;31685.9900000
TRNFP;D;20100825;000000;33290.0000000
TRNFP;D;20100826;000000;33569.9900000
TRNFP;D;20100827;000000;33340.0000000
TRNFP;D;20100830;000000;33123.0000000
TRNFP;D;20100831;000000;32850.0000000
TRNFP;D;20100901;000000;33330.0000000
TRNFP;D;20100902;000000;33460.0000000
TRNFP;D;20100903;000000;33049.9900000
TRNFP;D;20100906;000000;32940.0000000
TRNFP;D;20100907;000000;32700.0000000
TRNFP;D;20100908;000000;33500.0000000
TRNFP;D;20100909;000000;34249.9700000
TRNFP;D;20100910;000000;34144.0000000
TRNFP;D;20100913;000000;33705.0000000
TRNFP;D;20100914;000000;34214.3700000
TRNFP;D;20100915;000000;35600.0000000
TRNFP;D;20100916;000000;34785.0000000
TRNFP;D;20100917;000000;34200.0100000
TRNFP;D;20100920;000000;34615.2600000
TRNFP;D;20100921;000000;35140.0000000
TRNFP;D;20100922;000000;34401.1000000
TRNFP;D;20100923;000000;33950.0100000
TRNFP;D;20100924;000000;34499.0000000
TRNFP;D;20100927;000000;33799.1900000
TRNFP;D;20100928;000000;33090.0000000
TRNFP;D;20100929;000000;33426.0000000
TRNFP;D;20100930;000000;33800.0000000
TRNFP;D;20101001;000000;33920.0000000
TRNFP;D;20101004;000000;33930.0300000
TRNFP;D;20101005;000000;34800.0000000
TRNFP;D;20101006;000000;34410.0000000
TRNFP;D;20101007;000000;33957.0100000
TRNFP;D;20101008;000000;34198.9600000
TRNFP;D;20101011;000000;34711.0000000
TRNFP;D;20101012;000000;34393.7700000
TRNFP;D;20101013;000000;34715.0000000
TRNFP;D;20101014;000000;35455.0000000
TRNFP;D;20101015;000000;37097.8700000
TRNFP;D;20101018;000000;37700.0000000
TRNFP;D;20101019;000000;38200.0100000
TRNFP;D;20101020;000000;38670.0000000
TRNFP;D;20101021;000000;36495.0000000
TRNFP;D;20101022;000000;36240.9800000
TRNFP;D;20101025;000000;36681.6600000
TRNFP;D;20101026;000000;36700.0000000
TRNFP;D;20101027;000000;37335.0000000
TRNFP;D;20101028;000000;36870.0000000
TRNFP;D;20101029;000000;36835.2000000
TRNFP;D;20101101;000000;36800.0000000
TRNFP;D;20101102;000000;36539.9900000
TRNFP;D;20101103;000000;36200.0000000
TRNFP;D;20101108;000000;36478.7600000
TRNFP;D;20101109;000000;36508.0100000
TRNFP;D;20101110;000000;35850.0000000
TRNFP;D;20101111;000000;38300.0000000
TRNFP;D;20101112;000000;39201.0000000
TRNFP;D;20101113;000000;39195.0000000
TRNFP;D;20101115;000000;39600.0000000
TRNFP;D;20101116;000000;39251.0000000
TRNFP;D;20101117;000000;40280.0000000
TRNFP;D;20101118;000000;39600.0100000
TRNFP;D;20101119;000000;39590.0000000
TRNFP;D;20101122;000000;39705.0000000
TRNFP;D;20101123;000000;39246.8900000
TRNFP;D;20101124;000000;39898.4900000
TRNFP;D;20101125;000000;40239.9800000
TRNFP;D;20101126;000000;40650.0000000
TRNFP;D;20101129;000000;40580.0000000
TRNFP;D;20101130;000000;41000.0000000
TRNFP;D;20101201;000000;40900.0000000
TRNFP;D;20101202;000000;41550.0000000
TRNFP;D;20101203;000000;41400.0000000
TRNFP;D;20101206;000000;41590.0300000
TRNFP;D;20101207;000000;41646.0000000
TRNFP;D;20101208;000000;41257.0000000
TRNFP;D;20101209;000000;41550.0000000
TRNFP;D;20101210;000000;41352.0000000
TRNFP;D;20101213;000000;41515.1000000
TRNFP;D;20101214;000000;41540.0000000
TRNFP;D;20101215;000000;41460.0000000
TRNFP;D;20101216;000000;41140.0000000
TRNFP;D;20101217;000000;41500.0000000
TRNFP;D;20101220;000000;41410.0000000
TRNFP;D;20101221;000000;41480.0000000
TRNFP;D;20101222;000000;41452.0100000
TRNFP;D;20101223;000000;40802.0000000
TRNFP;D;20101224;000000;40080.0000000
TRNFP;D;20101227;000000;39945.0100000
TRNFP;D;20101228;000000;38980.0000000
TRNFP;D;20101229;000000;38147.9800000
TRNFP;D;20101230;000000;37795.0000000
