<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
VTBR;D;20100701;000000;0.0708000
VTBR;D;20100702;000000;0.0734000
VTBR;D;20100705;000000;0.0748000
VTBR;D;20100706;000000;0.0776000
VTBR;D;20100707;000000;0.0773000
VTBR;D;20100708;000000;0.0768000
VTBR;D;20100709;000000;0.0769000
VTBR;D;20100712;000000;0.0784000
VTBR;D;20100713;000000;0.0797000
VTBR;D;20100714;000000;0.0795000
VTBR;D;20100715;000000;0.0785000
VTBR;D;20100716;000000;0.0764000
VTBR;D;20100719;000000;0.0774000
VTBR;D;20100720;000000;0.0774000
VTBR;D;20100721;000000;0.0792000
VTBR;D;20100722;000000;0.0810000
VTBR;D;20100723;000000;0.0797000
VTBR;D;20100726;000000;0.0809000
VTBR;D;20100727;000000;0.0825000
VTBR;D;20100728;000000;0.0824000
VTBR;D;20100729;000000;0.0836000
VTBR;D;20100730;000000;0.0814000
VTBR;D;20100802;000000;0.0835000
VTBR;D;20100803;000000;0.0831000
VTBR;D;20100804;000000;0.0838000
VTBR;D;20100805;000000;0.0835000
VTBR;D;20100806;000000;0.0827000
VTBR;D;20100809;000000;0.0841000
VTBR;D;20100810;000000;0.0829000
VTBR;D;20100811;000000;0.0809000
VTBR;D;20100812;000000;0.0804000
VTBR;D;20100813;000000;0.0804000
VTBR;D;20100816;000000;0.0805000
VTBR;D;20100817;000000;0.0820000
VTBR;D;20100818;000000;0.0813000
VTBR;D;20100819;000000;0.0806000
VTBR;D;20100820;000000;0.0801000
VTBR;D;20100823;000000;0.0801000
VTBR;D;20100824;000000;0.0786000
VTBR;D;20100825;000000;0.0765000
VTBR;D;20100826;000000;0.0787000
VTBR;D;20100827;000000;0.0795000
VTBR;D;20100830;000000;0.0796000
VTBR;D;20100831;000000;0.0793000
VTBR;D;20100901;000000;0.0826000
VTBR;D;20100902;000000;0.0828000
VTBR;D;20100903;000000;0.0844000
VTBR;D;20100906;000000;0.0848000
VTBR;D;20100907;000000;0.0836000
VTBR;D;20100908;000000;0.0855000
VTBR;D;20100909;000000;0.0883000
VTBR;D;20100910;000000;0.0886000
VTBR;D;20100913;000000;0.0899000
VTBR;D;20100914;000000;0.0899000
VTBR;D;20100915;000000;0.0896000
VTBR;D;20100916;000000;0.0891000
VTBR;D;20100917;000000;0.0872000
VTBR;D;20100920;000000;0.0884000
VTBR;D;20100921;000000;0.0889000
VTBR;D;20100922;000000;0.0887000
VTBR;D;20100923;000000;0.0882000
VTBR;D;20100924;000000;0.0876000
VTBR;D;20100927;000000;0.0857000
VTBR;D;20100928;000000;0.0841000
VTBR;D;20100929;000000;0.0851000
VTBR;D;20100930;000000;0.0878000
VTBR;D;20101001;000000;0.0890000
VTBR;D;20101004;000000;0.0893000
VTBR;D;20101005;000000;0.0917000
VTBR;D;20101006;000000;0.0909000
VTBR;D;20101007;000000;0.0905000
VTBR;D;20101008;000000;0.0910000
VTBR;D;20101011;000000;0.0914000
VTBR;D;20101012;000000;0.0908000
VTBR;D;20101013;000000;0.0921000
VTBR;D;20101014;000000;0.0912000
VTBR;D;20101015;000000;0.0916000
VTBR;D;20101018;000000;0.0922000
VTBR;D;20101019;000000;0.0928000
VTBR;D;20101020;000000;0.0937000
VTBR;D;20101021;000000;0.0993000
VTBR;D;20101022;000000;0.1014000
VTBR;D;20101025;000000;0.1042000
VTBR;D;20101026;000000;0.1023000
VTBR;D;20101027;000000;0.1002000
VTBR;D;20101028;000000;0.1000000
VTBR;D;20101029;000000;0.1012000
VTBR;D;20101101;000000;0.1036000
VTBR;D;20101102;000000;0.1036000
VTBR;D;20101103;000000;0.1035000
VTBR;D;20101108;000000;0.1066000
VTBR;D;20101109;000000;0.1075000
VTBR;D;20101110;000000;0.1060000
VTBR;D;20101111;000000;0.1050000
VTBR;D;20101112;000000;0.1053000
VTBR;D;20101113;000000;0.1057000
VTBR;D;20101115;000000;0.1052000
VTBR;D;20101116;000000;0.1022000
VTBR;D;20101117;000000;0.1032000
VTBR;D;20101118;000000;0.1047000
VTBR;D;20101119;000000;0.1037000
VTBR;D;20101122;000000;0.1034000
VTBR;D;20101123;000000;0.1012000
VTBR;D;20101124;000000;0.1027000
VTBR;D;20101125;000000;0.1025000
VTBR;D;20101126;000000;0.1014000
VTBR;D;20101129;000000;0.1012000
VTBR;D;20101130;000000;0.1000000
VTBR;D;20101201;000000;0.1020000
VTBR;D;20101202;000000;0.1024000
VTBR;D;20101203;000000;0.1015000
VTBR;D;20101206;000000;0.1028000
VTBR;D;20101207;000000;0.1040000
VTBR;D;20101208;000000;0.1019000
VTBR;D;20101209;000000;0.1013000
VTBR;D;20101210;000000;0.1015000
VTBR;D;20101213;000000;0.1025000
VTBR;D;20101214;000000;0.1029000
VTBR;D;20101215;000000;0.1026000
VTBR;D;20101216;000000;0.1028000
VTBR;D;20101217;000000;0.1033000
VTBR;D;20101220;000000;0.1029000
VTBR;D;20101221;000000;0.1042000
VTBR;D;20101222;000000;0.1034000
VTBR;D;20101223;000000;0.1031000
VTBR;D;20101224;000000;0.1024000
VTBR;D;20101227;000000;0.1015000
VTBR;D;20101228;000000;0.1011000
VTBR;D;20101229;000000;0.1006000
VTBR;D;20101230;000000;0.1010000
