<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GAZP;D;20110111;000000;194.1500000
GAZP;D;20110112;000000;200.6400000
GAZP;D;20110113;000000;197.4000000
GAZP;D;20110114;000000;195.9200000
GAZP;D;20110117;000000;198.7000000
GAZP;D;20110118;000000;198.8000000
GAZP;D;20110119;000000;198.1200000
GAZP;D;20110120;000000;194.2000000
GAZP;D;20110121;000000;192.7100000
GAZP;D;20110124;000000;189.0500000
GAZP;D;20110125;000000;190.0000000
GAZP;D;20110126;000000;197.1400000
GAZP;D;20110127;000000;201.3000000
GAZP;D;20110128;000000;199.7000000
GAZP;D;20110131;000000;196.9800000
GAZP;D;20110201;000000;204.9100000
