<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
GMKN;D;20110111;000000;7287.0000000
GMKN;D;20110112;000000;7498.9900000
GMKN;D;20110113;000000;7395.0000000
GMKN;D;20110114;000000;7400.0000000
GMKN;D;20110117;000000;7462.8400000
GMKN;D;20110118;000000;7490.1200000
GMKN;D;20110119;000000;7464.0000000
GMKN;D;20110120;000000;7421.0000000
GMKN;D;20110121;000000;7500.0000000
GMKN;D;20110124;000000;7540.0000000
GMKN;D;20110125;000000;7502.0000000
GMKN;D;20110126;000000;7515.1900000
GMKN;D;20110127;000000;7602.0000000
GMKN;D;20110128;000000;7700.0000000
GMKN;D;20110131;000000;7470.0000000
GMKN;D;20110201;000000;7513.0000000
