<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
HYDR;D;20110111;000000;1.6550000
HYDR;D;20110112;000000;1.7050000
HYDR;D;20110113;000000;1.6600000
HYDR;D;20110114;000000;1.6740000
HYDR;D;20110117;000000;1.6780000
HYDR;D;20110118;000000;1.6650000
HYDR;D;20110119;000000;1.6480000
HYDR;D;20110120;000000;1.6070000
HYDR;D;20110121;000000;1.6000000
HYDR;D;20110124;000000;1.5460000
HYDR;D;20110125;000000;1.5390000
HYDR;D;20110126;000000;1.5320000
HYDR;D;20110127;000000;1.5090000
HYDR;D;20110128;000000;1.5050000
HYDR;D;20110131;000000;1.4900000
HYDR;D;20110201;000000;1.5360000
