<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
LKOH;D;20110111;000000;1798.0000000
LKOH;D;20110112;000000;1866.0000000
LKOH;D;20110113;000000;1903.0000000
LKOH;D;20110114;000000;1893.0000000
LKOH;D;20110117;000000;1924.9700000
LKOH;D;20110118;000000;1907.0000000
LKOH;D;20110119;000000;1932.7000000
LKOH;D;20110120;000000;1894.0000000
LKOH;D;20110121;000000;1931.0000000
LKOH;D;20110124;000000;1884.0000000
LKOH;D;20110125;000000;1889.8800000
LKOH;D;20110126;000000;1896.7800000
LKOH;D;20110127;000000;1880.0400000
LKOH;D;20110128;000000;1849.0500000
LKOH;D;20110131;000000;1834.9900000
LKOH;D;20110201;000000;1904.0000000
