<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
ROSN;D;20110111;000000;225.0800000
ROSN;D;20110112;000000;233.5700000
ROSN;D;20110113;000000;234.0000000
ROSN;D;20110114;000000;232.5100000
ROSN;D;20110117;000000;244.9500000
ROSN;D;20110118;000000;244.2000000
ROSN;D;20110119;000000;243.0000000
ROSN;D;20110120;000000;242.0000000
ROSN;D;20110121;000000;246.8600000
ROSN;D;20110124;000000;242.8600000
ROSN;D;20110125;000000;240.7500000
ROSN;D;20110126;000000;247.4900000
ROSN;D;20110127;000000;252.5500000
ROSN;D;20110128;000000;253.0000000
ROSN;D;20110131;000000;255.0000000
ROSN;D;20110201;000000;259.2500000
