<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBERP;D;20110111;000000;75.8900000
SBERP;D;20110112;000000;77.1000000
SBERP;D;20110113;000000;75.9400000
SBERP;D;20110114;000000;75.6500000
SBERP;D;20110117;000000;76.5700000
SBERP;D;20110118;000000;75.7300000
SBERP;D;20110119;000000;74.6000000
SBERP;D;20110120;000000;72.8500000
SBERP;D;20110121;000000;72.4300000
SBERP;D;20110124;000000;71.3700000
SBERP;D;20110125;000000;72.0200000
SBERP;D;20110126;000000;73.0800000
SBERP;D;20110127;000000;72.3500000
SBERP;D;20110128;000000;71.2600000
SBERP;D;20110131;000000;71.3500000
SBERP;D;20110201;000000;71.9800000
