<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SBER;D;20110111;000000;103.7800000
SBER;D;20110112;000000;107.0800000
SBER;D;20110113;000000;107.5400000
SBER;D;20110114;000000;107.2100000
SBER;D;20110117;000000;109.5700000
SBER;D;20110118;000000;108.0800000
SBER;D;20110119;000000;107.6600000
SBER;D;20110120;000000;105.2100000
SBER;D;20110121;000000;105.6100000
SBER;D;20110124;000000;104.0500000
SBER;D;20110125;000000;105.9800000
SBER;D;20110126;000000;108.6000000
SBER;D;20110127;000000;107.7400000
SBER;D;20110128;000000;106.3800000
SBER;D;20110131;000000;105.9000000
SBER;D;20110201;000000;106.4000000
