<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
SNGS;D;20110111;000000;34.9840000
SNGS;D;20110112;000000;36.1300000
SNGS;D;20110113;000000;35.2270000
SNGS;D;20110114;000000;35.2890000
SNGS;D;20110117;000000;35.2960000
SNGS;D;20110118;000000;34.8800000
SNGS;D;20110119;000000;34.7990000
SNGS;D;20110120;000000;34.1820000
SNGS;D;20110121;000000;34.4590000
SNGS;D;20110124;000000;33.7510000
SNGS;D;20110125;000000;33.0590000
SNGS;D;20110126;000000;33.6970000
SNGS;D;20110127;000000;33.6130000
SNGS;D;20110128;000000;33.6990000
SNGS;D;20110131;000000;33.4090000
SNGS;D;20110201;000000;33.6500000
