<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
TRNFP;D;20110111;000000;39600.0000000
TRNFP;D;20110112;000000;40868.7500000
TRNFP;D;20110113;000000;40200.0000000
TRNFP;D;20110114;000000;40130.0000000
TRNFP;D;20110117;000000;40300.0000000
TRNFP;D;20110118;000000;40150.0000000
TRNFP;D;20110119;000000;40200.0000000
TRNFP;D;20110120;000000;39560.0000000
TRNFP;D;20110121;000000;39710.0000000
TRNFP;D;20110124;000000;38884.2800000
TRNFP;D;20110125;000000;38323.0900000
TRNFP;D;20110126;000000;38699.0000000
TRNFP;D;20110127;000000;38700.0000000
TRNFP;D;20110128;000000;38396.0900000
TRNFP;D;20110131;000000;38698.9900000
TRNFP;D;20110201;000000;39230.0000000
