<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
VTBR;D;20110111;000000;0.1041000
VTBR;D;20110112;000000;0.1093000
VTBR;D;20110113;000000;0.1080000
VTBR;D;20110114;000000;0.1091000
VTBR;D;20110117;000000;0.1091000
VTBR;D;20110118;000000;0.1092000
VTBR;D;20110119;000000;0.1091000
VTBR;D;20110120;000000;0.1078000
VTBR;D;20110121;000000;0.1110000
VTBR;D;20110124;000000;0.1092000
VTBR;D;20110125;000000;0.1089000
VTBR;D;20110126;000000;0.1107000
VTBR;D;20110127;000000;0.1106000
VTBR;D;20110128;000000;0.1090000
VTBR;D;20110131;000000;0.1070000
VTBR;D;20110201;000000;0.1062000
